/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_06_line_00000.wav
tts_lines_part_06_line_00018.wav(129.7872340425532%)|yêu người ta thương người ta mà lại để tú anh về hỏi người ta|nhiều người ta thì người ta mà lại để tú anh về hỏi người ta 
tts_lines_part_07_line_01033.wav(134.14634146341464%)|ngồi ăn cơm ho một cái bắn vung cơm ở mồm ra như mưa ấy|mời ăn cơm ho một cái bắn vung cơm ở mồm ra như mưa ấy 
tts_lines_part_07_line_01036.wav(25.0%)|vàng|vâng
tts_lines_part_07_line_01038.wav(120.0%)|duyên chỉ đứng im cúi đầu|dân chỉ đứng im cúi đầu  
tts_lines_part_07_line_01041.wav(117.64705882352942%)|quăng cho tây phương|con cho tây phương  
tts_lines_part_07_line_01045.wav(122.91666666666667%)|đôi bít tất hoa đào cái vẻ mặt thản nhiên vì ngu đần của duyên |tôi biết tất hoa đào cái vẻ mặt thản nhiên vì ngu đần của duyên
tts_lines_part_07_line_01051.wav(64.70588235294117%)|đương bó lúa với mấy chị em duyên thấy một chàng quần lụa áo xa hoa giày đế kếp đội nón dứa tay xách cái va ly tre bước thoăn thoắt trên đường duyên đã cất giọng oanh hát ghẹo |đương bó lúa với mấy chị em duyên thấy một chàng quần lụa áo xa hoa giày đế kếp đội nón giữa tay xách cái va ly tre bước thoăn thoắt trên đường duyên đã cất giọng oanh hát ghẹo
tts_lines_part_07_line_01053.wav(111.11111111111111%)|dưới ruộng chiêm tiếng mấy người đàn bà cười khúc khích|dưới dạng chiêm tiếng mấy người đàn bà cười khúc khích 
tts_lines_part_07_line_01054.wav(113.63636363636364%)|chợt khách bộ hành cũng hát|cho khách bộ hành cũng hát 
tts_lines_part_07_line_01056.wav(83.33333333333334%)|xin đừng chuốc tiếng là người lẳng lơ|xin đừng cho tiếng là người làm lơ   
tts_lines_part_07_line_01061.wav(28.57142857142857%)|cho mang|cho mình
tts_lines_part_07_line_01065.wav(124.44444444444444%)|sự im lặng này đã tố cáo một tội của duyên không yêu chồng |sự yên lặng này đã tố cáo một tội của duyên không yêu chồng
tts_lines_part_07_line_01071.wav(107.6923076923077%)|đã thế có việc ra đình lại ngôn bất xuất khẩu trên các cụ ghét dưới bọn đàn em khinh |đã thế có việc gia đình lại ngôn bất xuất khẩu trên các cụ ghét dưới bọn đàn em khinh
tts_lines_part_07_line_01072.wav(125.0%)|chán ơi là chán|trả ơi là chán 
tts_lines_part_07_line_01085.wav(125.39682539682539%)|duyên tuy thú tội dại dột song vẫn không hối hận phải không hối hận một tí nào cả|dân tuy thú tội dại dột song vẫn không hối hận phải không hối hận một tí nào cả  
tts_lines_part_07_line_01087.wav(40.0%)|rõ đồ voi dày |rõ đồ voi giày
tts_lines_part_07_line_01099.wav(66.66666666666666%)|ma ni et|mà đi   
tts_lines_part_07_line_01105.wav(66.66666666666666%)|bay dan|bây giờ
tts_lines_part_07_line_01106.wav(100.0%)|vre|mà 
tts_lines_part_07_line_01108.wav(114.28571428571428%)|phét voa|kết quả 
tts_lines_part_07_line_01115.wav(137.5%)|xa và xa và|a ba sa bà 
tts_lines_part_07_line_01116.wav(80.0%)|giơ viêng đê|giáo viên để
tts_lines_part_07_line_01117.wav(100.0%)|ô voa com me|ô và còn mẹ 
tts_lines_part_07_line_01121.wav(66.66666666666666%)|chiêng|chín  
tts_lines_part_07_line_01122.wav(100.0%)|giăng|vâng 
tts_lines_part_07_line_01125.wav(75.0%)|hánh|hai 
tts_lines_part_07_line_01126.wav(114.28571428571428%)|này jean phải biếu tôi hai chục bạc hoa hồng|này con phải biếu tôi hai chục bạc hoa hồng 
tts_lines_part_07_line_01128.wav(66.66666666666666%)|thế chứ|cái thứ
tts_lines_part_07_line_01131.wav(76.92307692307693%)|bao nhiêu tin đi mối lại của hai bên nhà gái nhà trai trầu cau chạm ngõ sêu tết bánh chưng bánh giầy đại lễ dẫn cưới chỉ là mấy câu tiếng tây giả cầy ấy|bao nhiêu tin đi mối lại của hai bên nhà gái nhà trai trầu câu trả mỏ diêu tết bánh chưng bánh giầy đại lễ dẫn cưới chỉ là mấy câu tiếng tây giả cầy ấy 
tts_lines_part_07_line_01132.wav(30.0%)|ba hôm sau duyên đã thành madame jean|ba hôm sau duyên đã thành mà đảm gìn 
tts_lines_part_07_line_01139.wav(90.9090909090909%)|suzanne đã về|su dan đã về 
tts_lines_part_07_line_01144.wav(105.0%)|chương năm suzanne muốn|chức năm du giá muốn   
tts_lines_part_07_line_01146.wav(110.1123595505618%)|tại sao bà ách không những cho phép mà lại còn muốn tôi với suzanne cùng sóng đôi nhau thăm thú thị cầu và đáp cầu|tại sao bạn không những cho phép mà lại còn muốn tôi với sự gian cùng sóng đôi nhau thăm thú thị cầu và đáp cầu   
tts_lines_part_07_line_01150.wav(67.46031746031747%)|các ngài cứ hiểu cho rằng sau vài tiếng đồng hồ trò chuyện thì trước mắt suzanne tôi đã tỏ ra là một kẻ biết điều phải trái đại lượng đáng yêu không khinh người|các ngài cứ hiểu cho rằng sau vài tiếng đồng hồ trò chuyện thì trước mắt du san tôi đã tỏ ra là một kẻ biết điều phải trái đại lượng đáng yêu không khinh người 
tts_lines_part_07_line_01153.wav(84.21052631578947%)|thì suzanne cúi đầu đáp|thì su dan cúi đầu đáp 
tts_lines_part_07_line_01161.wav(28.57142857142857%)|những me|nhưng mà
tts_lines_part_07_line_01162.wav(28.57142857142857%)|những me|nhưng mà
tts_lines_part_07_line_01171.wav(38.46153846153847%)|tôi hỏi suzanne|tôi hỏi su gian
tts_lines_part_07_line_01186.wav(75.0%)|suzanne khẽ cho tôi một khuỷu tay vào mạng mỡ|sự gian khẽ cho tôi một hiệu tay vào mã mới  
tts_lines_part_07_line_01192.wav(68.18181818181817%)|mà xấu thì bà ách kể đã là xấu|mà xấu thì bà kể đã là xấu    
tts_lines_part_07_line_01200.wav(56.25%)|vì rằng suzanne nói|vì rằng su ra nói  
tts_lines_part_07_line_01204.wav(131.4814814814815%)|nuôi đầy tớ sợ nó ăn cắp thà lấy một người vợ vừa được sai bảo vừa được |người đầy tớ sợ nó ăn cắp thà lấy một người vợ vừa được sai bảo vừa được
tts_lines_part_07_line_01219.wav(100.0%)|suzanne gật đầu chúng tôi vòng nhà máy gạch qua những dãy nhà đằng sau chợ đáp cầu thủng thỉnh bước lên|sự gian gật đầu chúng tôi vào nhà máy gạch qua những dãy nhà đằng sau chợ đáp cầu thủng thỉnh bước lên 
tts_lines_part_07_line_01226.wav(120.0%)|ngọn đồi này|mọi đồi này 
tts_lines_part_07_line_01228.wav(113.63636363636364%)|chương sáu mấy bức thư tình|chiếc sáu mấy bức thư tình 
tts_lines_part_07_line_01230.wav(99.11504424778761%)|theo dòng chữ bút chì nguệch ngoạc trên mảnh giấy xé ở sổ thợ giặt ra tôi cứ việc thấy cái sân có rào găng ở một ngõ lách thuộc phố nhà ngựa là vào|theo dòng chữ bút chì bởi một trên mảnh giấy xé ở sổ thợ giặt ra tôi cứ việc thấy cái sân có rào găng ở một mỏ lách thuộc phố nhà ngựa là vào      
tts_lines_part_07_line_01233.wav(104.54545454545455%)|at tăng moa rắc công tê tú sà|em tăng ba rắc công tê tú sà 
tts_lines_part_07_line_01246.wav(44.73684210526316%)|cái giường của một me tây cũng như cái dùi cui của một thầy cảnh sát cũng như cái búa của bác thợ rèn cũng như cái cổ của một ông nghị viện việt nam |cái giường của một me tây cũng như cái dùi cui của một thầy cảnh sát cũng như cái búa của bác thợ gian cũng như cái cổ của một ông nghị viện việt nam
tts_lines_part_07_line_01281.wav(103.00751879699249%)|nếu những cuộc nhân duyên của các bà có thể chép vào thanh sử được thì trong cuốn sử ấy từ khi người tây sang đất nước này tưởng cũng đã có nhiều đoạn oanh liệt và vẻ vang |nếu những cuộc nhân duyên của các bạn có thể chép vào thanh sử được thì trong cuốn sử ấy từ khi người tây sang đất nước này tưởng cũng đã có nhiều đoạn oanh liệt và vẻ vang
tts_lines_part_07_line_01286.wav(22.5%)|ông đội chết rồi bà ta cũng chẳng nghèo chẳng giàu|ông đội chết rồi bà ta cũng chẳng nghèo thảm dầu  
tts_lines_part_07_line_01296.wav(70.50359712230215%)|bà ta đã có can đảm đánh trống ra lệnh cho chị em hậu sinh chúng tôi không nơm nớp sợ những ông khổng lồ tóc đỏ mắt xanh nói thì oang oang như gắt chân tay hay giơ lên như sự sừng sộ|bà ta đã có can đảm đánh trống ra lệnh cho chị em hậu sinh chúng tôi không nơm nước dở những ông khổng lồ tóc đỏ mắt xanh nói thì ban an như gắt trần cay hay giơ lên như sự sân sổ   
tts_lines_part_07_line_01308.wav(90.32258064516128%)|má ơi má trông thằng gioong nó đeo vào yếm rãi nó cái mỏ neo nó nhặt được đây này|má ơi má trông chàng dòm nó đeo vào yếm rãi nó cái mỏ neo nó nhặt được đây này   
tts_lines_part_07_line_01310.wav(37.5%)|bước ngay|bước này 
tts_lines_part_07_line_01320.wav(125.0%)|khốn nỗi không phải ai cũng có gan dùng đến cách đề phòng sự sinh dục cả|có lỗi không phải ai cũng đó gan dùng đến cách đề phòng sự sinh dục cả  
tts_lines_part_07_line_01329.wav(83.33333333333334%)|đếch gì|đắc gì 
tts_lines_part_07_line_01341.wav(129.6875%)|đương dở chuyện có hai me nữa bước vào me đi giày đầm và khoác áo tơi nói oang oang|nên dự chuyện có hai me nữa bước vào me đi giày đầm và khoác áo tơi nói quan hoàn  
tts_lines_part_07_line_01342.wav(66.66666666666666%)|gớm|năm
tts_lines_part_07_line_01355.wav(27.160493827160494%)|trước mắt thế lữ con hổ già ở chuồng trong vườn bách thảo đã muốn gầm than ôi thời oanh liệt nay còn đâu |trước mắt thế lữ con hổ già ở chuồng trong vườn bách thảo đã muốn gầm than ôi thời quanh việt này còn đâu
tts_lines_part_07_line_01358.wav(48.148148148148145%)|các me ở thị cầu mỗi khi nhắc nhỏm đến bà đều ra vẻ kính cẩn mà rằng chị đội tứ của chúng tôi là người đáo để ít ai bì kịp thằng chồng nào đầu trâu mặt ngựa đến đâu cũng phải e sợ|các me ở thị cầu mỗi khi nhắc nhỏm đến bà đều ra vẻ kính cẩn mà rằng chị đội tứ của chúng tôi là người đáo để ai bì kịp thằng chồng nào đầu trâu mặt ngựa đến đâu cũng phải e sợ   
tts_lines_part_07_line_01377.wav(122.22222222222223%)|alo điếc luý vơ nia đô nê xanh biệt|a lô đất úy và nia đô nê xanh biệt 
tts_lines_part_07_line_01379.wav(72.1311475409836%)|xăng qua en đoa bờ lắc kê bua hanoi buýt cơ y a cảm soóc giăng đơ măng đê xa manh|xăng qua en đoa bờ lắc kê bua hà nội bớt cơ a cảm soóc giăng đơ măng đê xa manh  
tts_lines_part_07_line_01387.wav(100.0%)|tích|anh 
tts_lines_part_07_line_01390.wav(30.656934306569344%)|cái dáng người còn măng sữa với cái áo the kép chiếc khăn nhung đôi giày nhung ấy tôi phải kinh ngạc muốn than như quan thống lĩnh doumer lúc bị đạn có thể đến thế được chăng|cái dáng người còn măng sữa với cái áo the kép chiếc khăn nhung đôi giày nhung ấy tôi phải kinh ngạc muốn than như quan thống lĩnh đu mơ lúc bị đạn có thể đến thế được chăng 
tts_lines_part_07_line_01403.wav(25.806451612903224%)|gái già này lại còn cái gì mà chẳng biết|gái già này lại còn cái gì mà chả biết  
tts_lines_part_07_line_01406.wav(61.76470588235294%)|tiện dịp tôi vội hỏi đến đoạn đời về trước khi ái và tích chưa đến nỗi trôi dạt sang đây |tiện dịp tôi vội hỏi đến đoạn đời về trước khi anh và tích chưa đến nỗi trôi dạt sang đây
tts_lines_part_07_line_01415.wav(129.5081967213115%)|tích ít chữ nghĩa cứ càng ngày càng bị bà chủ đem tên những súc vật mà tặng cho  |thích chí chữ nghĩa cứ càng ngày càng bị bà chủ đem tên những súc vật mà tặng cho
tts_lines_part_07_line_01419.wav(50.0%)|tai hoạ ở đấy |tai họa ở định
tts_lines_part_07_line_01423.wav(102.56410256410255%)|tấm thân đã như hòn ngọc có vết rồi không bao giờ tôi dám nghĩ đến việc lấy một người chồng tử tế nữa|tấm thân đã như hòn nào có vết rồi không bao giờ tôi dám nghĩ đến việc lấy một người chồng tử tế nữa 
/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_07_line_01439.wav
tts_lines_part_07_line_01458.wav(70.96774193548387%)|tích tuy đỏ bừng mặt nhưng cũng hỏi tôi |tích tuy đỏ bừng mạnh nhưng cũng hỏi tôi
tts_lines_part_07_line_01463.wav(70.0%)|có thế chứ lị|có thể xử lý 
tts_lines_part_07_line_01465.wav(118.5185185185185%)|bà đội nghiến răng nói pha trò rồi cầm cái lõi để đập xuống giường đánh thình một cái để chấm câu thần tình như tiếng trống chầu xinh vậy|bà đội nhìn răng nói pha trò rồi cầm cái lõi để đập xuống giường đánh thình một cái để chấm câu thần tình như tiếng trống chầu xinh vậy  
tts_lines_part_07_line_01468.wav(120.83333333333333%)|bây giờ thì  màu hồ đã mất đi rồi thôi thôi vốn liếng đi đời nhà ma có tiếc cũng chả được nữa chứ ví thử tích nó hãy còn tân xem|bây giờ thì màu hồ đã mất đi rồi thôi thôi vốn liếng đi đời nhà ma có tiếc cũng chả được nữa chứ ví thử tích nó hãy còn tân xem 
tts_lines_part_07_line_01475.wav(98.50746268656717%)|nó cứ hay rượu chè hay sừng sộ lắm lúc tưởng có thể mình chỉ bị một cái thụi cũng bỏ đời|nó cứ hay rượu trẻ hay sấn sổ lắm lúc tưởng có thể mình chỉ bị một cái thụi cũng bỏ đời 
tts_lines_part_07_line_01483.wav(95.06172839506173%)|trừ phi bắt được quả tang ngủ với giai hãy chịu chứ đường đường chính chính ra mình phải mà họ trái thì|trừ phi bắt được quả tang mổ với giai hãy chịu chứ đường đường chính chính ra mình phải mà họ trái thì 
tts_lines_part_07_line_01487.wav(108.69565217391303%)|giơ dao lên doạ gái này cũng tốc phăng ngay cái coóc xê lên|giữa dao lên dọa gái này cũng tốc phăng này cái các xe lên 
tts_lines_part_07_line_01494.wav(54.23728813559322%)|bắt gặp là không cần cắt nghĩa gì nữa cứ việc túm lấy tóc mà cấu mà cắn mà tát  |bắt gặp là không cần cắt nghĩa gì nữa cứ việc tống lấy tóc mà cấu mà cảnh bà tác
tts_lines_part_07_line_01497.wav(29.577464788732392%)|mỗi khi được một trận đòn ghen như thế là anh chồng sung sướng có thể hoá dại được ấy chứ lị |mỗi khi được một trận đòn ghen như thế là anh chồng sung sướng có thể hóa giải được ấy chứ lị
tts_lines_part_07_line_01505.wav(100.0%)|than ôi|hà nội 
tts_lines_part_07_line_01508.wav(125.55555555555556%)|ngồi khoanh tay mọt cách rất lễ phép ở tận một góc phòng tôi may sao không đến nỗi là cái đinh trước mắt ngài nào cả|mối khoan đây một cách rất lễ phép ở tận một góc phòng tôi may sao không đến nỗi là cái đinh trước mắt ngài nào cả  
tts_lines_part_07_line_01513.wav(51.64319248826291%)|khi biết tôi là phóng viên một tờ tuần báo bản xứ rồi hiếc tôn đã trả lại tôi cái các nhà báo một cách rất đỗi lễ phép và vội vàng hỏi ngay đến rằng vụ hành thích ông barthou và vua alexandre iii ở mạc xây vừa rồi đã gây ra những cái phản động lực về phần chính phủ pháp ra sao       |khi biết tôi là phóng viên một tờ tuần báo bản xứ rồi hiếc tôn đã trả lại tôi cái các nhà báo một cách rất đỗi lễ phép và vội vàng hỏi ngay đến rằng vụ hành thích của ông ba châu và vua a lếch san đơ ba ở mạc xây vừa rồi đã gây ra những cái phản động lực về phần chính phủ pháp ra sao
/media/trung/nvme0n1p4//dataset_ASR/tts/tts_lines_part_07_line_01515.wav
tts_lines_part_07_line_01516.wav(300.0%)|i   |y án
tts_lines_part_07_line_01517.wav(132.85714285714286%)|p tóm thuật cho anh ta nghe rồi để yên anh ta với người yêu tâm sự với nhau hàng giờ đồng hồ |về tổn thuật cho anh ta nghe rồi để yên anh ta với người yêu tâm sự với nhau hàng giờ đồng hồ
tts_lines_part_07_line_01520.wav(30.337078651685395%)|lần đầu tôi đã thoát bị nghi rồi nên lần này sự tôi có mặt tại nhà bà kiểm lâm là không đáng ngại cho tôi chút nào cả|lần đầu tôi đã thoát bị nghi rồi nên lần này sự tôi có mặt tại nhà bà kiểm lâm là không bán lại cho tôi chút nào cả  
tts_lines_part_07_line_01526.wav(91.869918699187%)|trước sự tranh giành của thần sông và thần núi mỵ nương cứ giữ một vẻ bình tĩnh khó tả ra đều măng phú tú và chỉ biết tiền trao cháo múc y như là vua hùng vương  |trước sự tranh giành của thần sông và thần núi nghỉ nương cứ giữ một vẻ bình tĩnh khó tả ra đều măng phú tú và chỉ biết tiền trao cháo múc y như là vua hùng vương
tts_lines_part_07_line_01527.wav(123.52941176470588%)|hiếc tôn thoạt tiên cũng còn giữ được lễ độ|hết tôn thoạt tiên cũng còn giữ được lễ độ 
tts_lines_part_07_line_01532.wav(85.77777777777777%)|các ngài độc giả hẳn đã đôi khi trông thấy một bộ mặt như tôi muốn tả một cái mặt lởm chởm những râu và riu với lùng bùng những túi thịt dưới hai con mắt với cặp môi không màu trắng bệch và hai hàm răng sâu một cái mặt buồn khi người ta vô tư lự và cáu kỉnh nhăn nhở khi người ta muốn cười vậy|cách này độc giả hẳn đã đôi khi trông thấy một bộ mặt như tôi muốn tả một cái mặt lởm chởm những râu và gì với lùng bùng những túi thịt dưới hai con mắt với cặp môi không màu trắng bệch và hai hàm răng sâu một cái mặt buồn khi người ta vô tư lự và cáu kỉnh nhăn nhở khi người ta muốn cười vậy 
tts_lines_part_07_line_01543.wav(134.6153846153846%)|uây moa bơ rô mét a vu tú đơ mê luý viêng a văng vu ê a lô xe mông ma ghi|vậy mà ba rô mét a vu tú đơ mê luý viêng a văng vu ê a lô xe mông ma ghi 
tts_lines_part_07_line_01544.wav(122.22222222222223%)|vu dết dơnê bố cu gia lu moa ba ú loà   |mua hết giờ để bố cu gia lu moa ba ú loà
tts_lines_part_07_line_01548.wav(102.22222222222221%)|nhưng con lạc đà khôn ngoan này chỉ gượng cười mà vặn lại|nhưng con là đã khôn ngoan này chỉ gượng cười mà vặn lại 
tts_lines_part_07_line_01554.wav(46.49122807017544%)|nhất là tao lại không được là dân nước áo chưa từng được biết phong vị của kinh đô ái tình ville damour cho nên lần này là lần đầu mà tao biết ghen |nhất là tao lại không được là dân nước áo chưa từng được biết phong vị của kinh đô ái tình vi lơ đê e mo cho nên lần này là lần đầu mà tao biết ghen
tts_lines_part_07_line_01558.wav(42.857142857142854%)|mày nhầm|bẩy nhăm
tts_lines_part_07_line_01573.wav(112.00000000000001%)|chương chín tư tưởng độc quyền|chín chín tư tưởng độc quyền  
tts_lines_part_07_line_01574.wav(129.34782608695653%)|ngót bốn hôm lang thang ở đây những tài liệu thu thập kể cũng gần đủ nên tôi muốn quay về hà thành để rồi đi chùa thông|mất bốn hôm lang thang ở đây những tài liệu thu thập kể cũng gần đủ nên tôi muốn quay về hà thành để rồi đi chùa thông 
tts_lines_part_07_line_01575.wav(40.54054054054054%)|tôi đã được trông thấy hẳn hoi một cuộc ly dị chồng với một buổi cưới chồng của bà kiểm lâm đã được rõ cái tâm sự phân vân của suzanne đã được nghe một đoạn đời lấy chín người vợ của đi mi tốp|tôi đã được trông thấy hẳn hoi một cuộc ly dị chồng với một buổi cưới chồng của bà kiểm lâm đã được rõ cái tâm sự phân vân của sudan đã được nghe một đoạn đời lấy chín người vợ của đi mi tốp  
tts_lines_part_07_line_01580.wav(77.1604938271605%)|thôi thì dù sao cũng ghi được ít nhiều cảm giác về bà hoàng hậu mất ngôi ấy xưa kia đã hét ra lửa ở việt trì thì nay theo luật thừa trừ chỉ còn là một người đàn bà nghèo kiết mới bõ những thời oanh liệt thuở xưa|thôi thì dù sao cũng ghi được ít nhiều cảm giác về bà hoàng hậu mất môi ánh dự kia đã hét ra lửa ở việt trì thì nay theo luật thừa trừ chỉ còn là một người đàn bà nghèo kiết mới bõ những thời quanh liệt thuở xưa
tts_lines_part_07_line_01582.wav(98.42105263157895%)|có lẽ được quỷ thần phù hộ chăng nên khi đã ra tới trước cửa rạp chớp bóng a lăm ba đương phân vân không rõ còn chuyến xe ca nào đi hà nội không thì tôi gặp hiếc tôn nghĩa là thuỷ tinh người lính lê dương mà độc giả hẳn chưa quên một đoạn đời tình |có lẽ được quỷ thần phù hộ chăng nên khi đã ra tới trước cửa giảm chớp bóng a lăm ba đương phân vân không rõ còn chuyến xe ca nào đi hà nội không thì tôi gặp hiếc tôn nghĩa là thủy tinh người lính lê dương mà độc giả hẳn chưa quên một đoạn đời tình
tts_lines_part_07_line_01586.wav(130.6122448979592%)|hiếc tôn lại nói nếu tôi muốn xem mặt thì cứ việc đi theo anh ta|các tôn lại nói nếu tôi muốn xem mặt thì cứ việc đi theo anh ta 
tts_lines_part_07_line_01608.wav(75.0%)|hoài|hồi 
tts_lines_part_07_line_01614.wav(105.88235294117648%)|nhưng sức nặng từ trên cao sẽ rơi xuống nếu tôi cứ muốn nói nhiều|nhưng sức đàn từ trên cao sẽ rơi xuống nếu tôi cứ muốn nói nhiều 
tts_lines_part_07_line_01616.wav(80.0%)|tiểu thuyết   |điều thuế nhất
tts_lines_part_07_line_01622.wav(63.63636363636363%)|thân thể nó nó đặt nghiêng trên chiếc ghế hai chân nó duỗi thẳng cẳng ra lại thêm cái đầu hơi cúi về trước với hai cánh tay buông xuôi như muốn để rơi xuống đất cái dáng điệu ấy khiến cho tôi những trông mà buồn|thân thể nó nó đặt nghiêng trên chiếc ghế hai chân nó dưới thẳng cảm giác lại thêm cái đầu hơi cúi về trước với hai cánh tay buông xuôi như muốn để rơi xuống đất cái giá điệu ấy khiến cho tôi những trông mà buồn
tts_lines_part_07_line_01624.wav(125.0%)|ngồi ngay ngắn lại đi mày|mời ngay ngắn lại đi mày 
tts_lines_part_07_line_01625.wav(121.42857142857142%)|tao trông mày y như người bị trọng thương đương nằm trên băng ca hay là một kẻ bị ám sát ấy|tao cho mày y như người bị trọng thương đương nằm trên băng ca hay là một kẻ bị ám sát ấy  
tts_lines_part_07_line_01626.wav(33.33333333333333%)|chỉ láo|chỉ là 
tts_lines_part_07_line_01631.wav(50.0%)|nó vẫn uể oải|nó vẫn về    
tts_lines_part_07_line_01643.wav(37.5%)|một lúc lâu hai chúng tôi cứ ngồi lặng im|một lúc lâu hai chúng tôi cứ mỗi làm im  
tts_lines_part_07_line_01646.wav(35.978835978835974%)|cái tình bằng hữu của chúng tôi đã tỏ rõ ở những lúc nó biết hy sinh cho tôi biết nhường nhịn tôi những lúc đánh đáo ở sân trường những lúc mò bi ở các cống rãnh những lúc đó đi đổ dế mèn ngày chủ nhật đi bắt ve sầu đêm khuya mùa hạ ở những gốc cây |cái tình bằng hữu của chúng tôi đã tỏ rõ ở những lúc nó biết hy sinh cho tôi biết nhường nhịn tôi những lúc đánh đáo ở sân trường những lúc mò bi ở các cống rãnh những lúc đó đi đổ giấy mẹ ngày chủ nhật đi bắt ve sầu đêm khuya mùa hạ ở những gốc cây
tts_lines_part_07_line_01648.wav(29.365079365079367%)|lúc có khi nó có con ve sầu khổng lồ mà không để tôi chơi chung khiến cho tôi lập tâm trả thù chờ khi vào lớp đâu đấy rồi sau khi thầy giáo đã cầm miếng phấn với cái thước kẻ bảng rồi tôi mới khẽ luồn tay vào túi nó bóp con ve sầu khiến con ve kêu ríu ríu ọ ọ rầm lớp lên để cho thằng quý phải ra quỳ ngoài hiên sau khi bị ba cái tát|lúc có khi nó có con ve sầu khổng lồ mà không để tôi chơi chung khiến cho tôi lập tâm trả thù chờ khi vào lớp đâu đấy rồi sau khi thầy giáo đã cầm miếng phấn với cái thước kẻ bảng rồi tôi mới khẽ luồn tay vào túi nó bóp con ve sầu khiến con ve kêu ríu ríu ọ rầm lớp lên để cho thằng quý phải ra quỳ ngoài hiên sau khi bị ba cái tát  
tts_lines_part_07_line_01650.wav(94.40298507462687%)|cho nên nào là dán giấy có những chữ tôi là thằng ăn cắp vào sau lưng nhau nào là đương ngồi yên lành mà đập gẫy ngòi bút của nhau vào giữa giờ đích tê nào là đứa nọ đứng lên đọc bài thì đứa kia luồn ngầm ngay một lọ mực xuống chỗ dưới đũng quần thôi thì không một phương kế ranh mãnh nào mà chúng tôi lại không dùng để tỏ cho nhau cái tình thân ái|cho nên nào là dán giấy có những chữ tôi là thằng ăn cắp vào sau lưng nhau nào là đứa mồi yên lành mà đập gẫy ngòi bút của nhau vào giữa giờ đích tê nào là đứa nọ đứng lên đọc bài thì đứa kia luồn ngầm ngay một lọ mực xuống chỗ dưới đũng quần thôi thì không một phương kế ranh mãnh nào mà chúng tôi lại không dùng để tỏ cho nhau cái tình thân ái   
tts_lines_part_07_line_01657.wav(73.84615384615385%)|từ khi nó được người ta phó thác cho cái thiên chức đi giảng rằng café là càphê le café là nước cà phê mère là mẹ la mère là mẹ là người me cho mán mường ở những nơi thâm sơn cùng cốc biết thế nào là văn minh tiến bộ thì ấy là chúng tôi cách biệt hẳn nhau |từ khi nó được người ta phó thác cho cái thiên chức đi giảng rằng cà phê là cà phê là cà phê là nước cà phê mẹ là mẹ là mẹ là mẹ là người me cho ảnh mường ở những nơi thâm sơn cũng có biết thế nào là văn minh tiến bộ thì anh là chúng tôi cách biệt hẳn nhau
tts_lines_part_07_line_01660.wav(83.20610687022901%)|sự vật lộn để kiếm miếng sống ở đời tuy chóng làm cho tôi và quý dễ quên nhau song có lẽ nó cũng như tôi cũng nhiều khi nó ngồi trầm ngâm nhớ lại quãng đời trẻ con đầy những ánh sáng tưng bừng đầy những sự điên rồ ngây thơ đầy những cách lếu láo vô tội mà nó cần đến thơ chim gái thì nó có tôi hoặc tôi thiếu tiền xem chiếu bóng thì tôi có nó|sự vật lộn để kiếm miếng sống ở đời tuy chóng làm cho tôi và quý dễ quên nhau song có lẽ nó cũng như tôi cũng nhiều khi nó mở trầm ngâm nhớ lại quãng đời trẻ con đầy những ánh sáng tưng bừng đầy những sự điên rồ ngây thơ đầy những cách lếu lãng vô tội mà nó cần đến thơ trên gái thì nó có tôi hoặc tôi thiếu tiền xem chiếu bóng thì tôi có nó 
tts_lines_part_07_line_01673.wav(100.0%)|đi |đây
tts_lines_part_07_line_01682.wav(129.54545454545453%)|mười giờ về sao được bác ấy còn phải đi thăm nhiều bạn cũ|bây giờ về sao được bác ấy còn phải đi thăm nhiều bạn cũ 
tts_lines_part_07_line_01702.wav(131.42857142857142%)|t có một nhà kia là một nơi bồng lai tiên cảnh|có một nhà kia là một nơi bồng lai tiên cảnh  
tts_lines_part_07_line_01709.wav(117.44186046511629%)|tôi cũng chột dạ đứng hẳn lại tần ngần lo sợ không khéo thằng phu xe lầm nhà hoặc là nhà đã đổi chủ rồi cũng nên|tôi cũng chỉ dạ đứng hẳn lại tần ngần lo sợ không khéo thằng phu xe lầm nhà hoặc là nhà đã đổi chủ rồi cũng lên 
tts_lines_part_07_line_01711.wav(56.06694560669456%)|dù là ngài đã ăn chơi lọc lõi đã trải đời hết sức đã biết rõ đủ cả những cái mặt trái nhơ nhuốc của xã hội đi nữa chắc ngài cũng phải đến phân vân như chúng tôi mà thôi chớ ngài không thể có ngay cái tính khinh đời ngạo mạn dám đi tin ngay rằng sự mãi dâm lại có thể đóng đại bản doanh ở trong một nơi như nhà này|dù là ngài đã ăn chơi lọc lõi đã trải đời hết sức đã biết rõ đủ cả những cái mặt trái nhơ nhuốc của xã hội đi nữa chắc ngài cũng phải đến phân vân như chúng tôi mà thôi chớ này không thể có ngay cái tính khinh đời nào mà dám đi tin ngay rằng sự mãi dâm lại có thể đóng đại bản doanh ở trong một nơi như nhà này   
