VIVOSSPK01_R001|x_ɛ_k_5b s_a_n_6
VIVOSSPK37_004|ɲ_ɯ_ŋ_1 v_ɤ_j_5 z_a_ŋ_5 ŋ_ɯə_j_2 tʰ_i_2 h_w_i_1 k_ɔ_5 tʰ_e_4 k_a_m_4 ɲ_ɤ̆_n_6 d_ɯə_k_6b t_w_a_n_2 b_o_6 n_ɛ_t_5b d_ɛ_p_6b k_uə_4 n_ɔ_5
VIVOSSPK37_005|o_ŋ͡m_1 c_ɔ_1 z_ă_ŋ_2 k_ɔ_n_1 s_o_5 tʰ_iə_t_6b h_a_j_6 tʰ_ɤ̆_m_6 c_i_5 s_ɛ_3 k_ɔ_n_2 t_ă_ŋ_1 h_ɤ_n_1 n_ɯə_3 n_ɛu_5 t_i_ŋ_5 k_a_4 k_a_k_5b iə_w_5 t_o_5 ɲ_ɯ_1 z_i_1 k_ɯ_1 v_a_2 t_i_6 n_a_n_6
VIVOSSPK37_006|k_ɔ_n_2 c_u_5 b_a_1 b_ɔ_4 d_i_1 c_u_5 s_o_ŋ͡m_5 v_ɤ_j_5 m_ɛ_6 v_a_2 ŋ_w_a_j_6 kw_a_1 h_e_t_5b ɲ_ɯ_ŋ_3 n_ă_m_1 tʰ_a_ŋ_5 t_uə_j_4 tʰ_ɤ_1 c_ɔ_1 d_e_n_5 l_ɤ_n_5
VIVOSSPK37_007|tʰ_ɤ̆_j_2 z_a_w_5 c_i_k_5b l_o_m_2 k_o_m_2 ŋ_o_j_2 z_ɤ̆_j_6 t_ă_t_5b ŋ_ɔ_n_6 d_ɛ_n_2 z_ɤ̆_w_2 k_a_5 z_o_j_2 n_ă_m_2 s_uə_ŋ_5 m_ă_t_6b d_ɤ̆_t_5b
VIVOSSPK37_008|m_ɔ_n_5 f_ɤ_4 k_uə_n_5 z_uə_k_5b t_o_m_1 d_ɯə_k_6b s_a_w_1 i_1 ɣ_ɤ̆_n_2 ɲ_ɯ_1 ŋ_w_iə_n_1 b_a_n_4 t_ɯ_2 m_o_t_6b kw_a_n_5 n_o_j_4 t_iə_ŋ_5 ɤ_4 h_a_2 n_o_j_6
VIVOSSPK37_009|k_a_4 v_u_ŋ_2 tʰ_a_k_5b z_o_n_6 l_e_n_1 t_iə_ŋ_5 c_i_m_1 m_uə_ŋ_1 h_w_a_2 v_ɤ_j_5 t_iə_ŋ_5 n_ɯə_k_5b a_w_2 a_w_2 tʰ_ɛ_ŋ_2 m_o_t_6b b_a_n_4 ɲ_a_k_6b x_o_ŋ͡m_1 l_ɤ_j_2 t_a_j_6 n_ɤ_j_1 tʰ_iə_n_1 ɲ_iə_n_1 h_w_a_ŋ_1 s_ɤ_1 k_i_2 b_i_5 n_ă_j_2
VIVOSSPK37_010|z_iə_ŋ_1 k_a_k_5b tʰ_i_5 s_i_ŋ_1 k_ɔ_5 h_ɔ_k͡p_6b l_ɯ_k_6b x_a_5 c_ɤ_4 l_e_n_1 tʰ_i_2 l_a_j_6 c_ɔ_1 z_ă_ŋ_2 d_e_2 tʰ_i_1 h_w_a_5 x_o_ŋ͡m_1 kw_a_5 x_ɔ_5 ɲ_ɯ_ŋ_1 d_e_2 z_a_j_2 v_a_2 b_a_j_2 t_ɤ̆_p_6b ɲ_iə_w_2
VIVOSSPK37_011|c_ɤ_6 d_e_m_1 k_a_1 b_a_1 z_ɛ_ŋ_2 c_ɔ_1 ɲ_ɯ_ŋ_3 ŋ_ɯə_j_2 d_a_ŋ_1 v_a_w_2 m_uə_2 t_ă_ŋ_1 k_a_1 k_uə_j_5 n_ă_m_1
VIVOSSPK37_012|tʰ_ɤ̆_t_6b x_ɔ_5 d_e_4 c_ɯə_3 l_a_j_6 n_e_n_1 ɛ_ŋ_1 d_ɛ_ŋ_2 l_ɤ_1 d_i_1 v_a_2 b_iə_6 z_a_1 k_ɤ̆_w_1 c_w_iə_n_6 v_e_2 k_a_2 f_e_1 m_uə_j_5
VIVOSSPK37_013|h_iə_n_6 n_ă_j_1 x_u_1 k_ă_n_1 k_ɯ_5 ɣ_ɤ̆_n_2 ɲ_ɯ_1 b_i_6 h_u_j_4 h_w_a_j_6 h_w_a_n_2 t_w_a_n_2 c_i_4 k_ɔ_n_2 l_a_j_6 m_o_t_6b v_a_j_2 z_ɤ̆_w_5 t_i_k_5b k_uə_4 tʰ_ɛ_ŋ_2 v_ɛ_k_5b h_ɤ̆_m_2 n_o_j_4 m_o_1 d_ɤ̆_t_5b
VIVOSSPK37_014|v_ɤ̆_j_6 m_a_2 z_ɤ_2 d_a_3 n_e_n_1 d_o_j_1 n_e_n_1 d_uə_3 m_ɯə_j_2 k_ă_p_6b t_o_4 ɤ̆_m_5 n_a_w_2 k_u_ŋ_3 d_ɛu_2 z_i_w_5 z_a_n_1 t_iə_ŋ_5 c_ɛ_4 k_ɔ_5 k_ă_p_6b d_a_3 k_i_p_6b s_i_ŋ_1
VIVOSSPK37_015|tʰ_ɛ_ŋ_2 l_ɤ̆_p_6b ɲ_ɛ_ŋ_1 c_ɤ̆_t_5b l_ɯə_ŋ_6 z_i_k_6b v_u_6 z_ɤ̆_t_5b x_ɔ_5 n_ă_m_5 b_ă_t_5b ɲ_ɯ_ŋ_1 h_ɤ̆_w_2 h_e_t_5b k_a_k_5b k_o_ŋ͡m_1 t_i_1 n_ă_j_2 v_ɤ̆_n_3 s_o_ŋ͡m_5 x_w_e_4 z_ɛ_1
VIVOSSPK37_016|ɲ_ɯ_ŋ_3 ŋ_ă_j_2 h_ɔ_k͡p_6b tʰ_e_m_1 ŋ_w_a_j_2 z_ɤ_2 z_u_2 m_ɯə_1 t_ɔ_1 z_ɔ_5 l_ɤ_n_5 ɲ_ɯ_ŋ_1 tʰ_ɤ̆_j_2 x_o_ŋ͡m_1 h_e_2 ŋ_ɤ̆_n_2 ŋ_a_j_6 v_ɤ̆_n_3 d_e_n_5 z_ă_j_6 c_u_ŋ_5 ɛ_m_1
VIVOSSPK37_017|h_o_m_1 n_ă_j_1 m_ɛ_6 d_a_3 o_m_1 m_o_t_6b ɛ_m_1 b_ɛ_5 d_i_1 l_a_k_6b d_e_n_5 c_a_4 c_ɔ_1 z_a_1 d_i_ŋ_2
VIVOSSPK37_018|d_ɯ_ŋ_2 iə_w_1 k_ɤ̆_w_2 ŋ_ɯə_j_2 iə_w_1 h_ă_j_1 ŋ_ɯə_j_2 b_a_n_6 d_ɤ_j_2 f_a_j_4 tʰ_w_a_4 m_a_n_3 m_ɔ_j_6 ɲ_u_1 k_ɤ̆_w_2 k_uə_k_6b s_o_ŋ͡m_5 k_uə_4 b_a_n_6
VIVOSSPK37_019|ɛ_ŋ_1 b_ɤ̆_t_6b k_ɯə_j_2 k_u_j_5 d_ɤ̆_w_2 m_ă_k_5b k_ɤ_3 t_ɯ_6 b_iə_t_5b m_i_ŋ_2 x_o_ŋ͡m_1 k_ɔ_5 z_a_ŋ_5 v_ɛ_4 k_uə_4 m_o_t_6b ɲ_a_2 v_ă_n_1
VIVOSSPK37_020|ŋ_w_iə_n_3 kw_a_ŋ_1 s_ɤ_n_1 c_ɤ_4 tʰ_i_1 d_i_1 t_i_m_2 s_ă_w_1 d_ɔ_5 b_ă_t_5b d_ɯə_k_6b h_a_j_1 ɛ_ŋ_1 h_w_a_ŋ_2 v_a_2 tʰ_ɔ_6 c_ɤ_4 v_e_2 x_u_1 t_ɤ̆_p_6b tʰ_e_4
VIVOSSPK37_021|d_ɤ̆_j_1 l_a_2 k_i_m_1 l_w_a_j_6 k_ɔ_5 tʰ_e_4 ɣ_ɤ̆_j_1 z_a_1 b_e_ŋ_6 u_ŋ_1 tʰ_ɯ_1 v_a_2 ɛ_ŋ_4 h_ɯə_ŋ_4 d_e_n_5 s_ɯ_6 f_a_t_5b c_iə_n_4 n_a_w_3 b_o_6 k_uə_4 c_ɛ_4 ɛ_m_1
VIVOSSPK37_022|k_o_1 x_o_ŋ͡m_1 tʰ_e_4 d_i_1 d_ɯə_k_6b s_ɛ_1 b_w_i_t_5b v_a_2 k_u_ŋ_3 x_o_ŋ͡m_1 k_ɔ_5 s_ɛ_1 d_a_p_6b d_e_4 d_i_1
VIVOSSPK37_023|ɛ_m_1 d_a_3 x_ɔ_k͡p_5b z_ɤ̆_t_5b ɲ_iə_w_2 ɛ_m_1 x_o_ŋ͡m_1 tʰ_e_4 s_a_1 ɛ_ŋ_1 ɲ_ɯ_ŋ_1 l_a_j_6 x_o_ŋ͡m_1 tʰ_e_4 s_a_1 z_a_1 d_i_ŋ_2
VIVOSSPK37_024|c_ɔ_ŋ͡m_1 b_a_1 tʰ_a_ŋ_5 k_ɤ̆_n_6 t_e_t_5b ɲ_iə_w_2 d_a_j_6 z_a_1 m_uə_n_5 c_ɤ_j_1 m_o_t_6b m_i_ŋ_2 m_o_t_6b k_iə_w_4 n_e_n_1 x_o_ŋ͡m_1 m_uə_1 ɲ_ɯ_ŋ_3 b_ɯ_k_5b k_ɔ_5 s_ă_n_3 m_a_2 d_ă_t_6b h_a_ŋ_2 l_a_m_2 c_ɛ_ŋ_1 tʰ_eo_1 i_5 m_i_ŋ_2
VIVOSSPK37_025|c_ɔ_1 b_iə_t_5b c_ɯə_k_5b d_ɔ_5 x_w_a_ŋ_4 m_o_t_6b z_ɤ_2 o_ŋ͡m_1 n_o_j_6 b_ɛ_5 d_a_ŋ_1 c_o_ŋ͡m_1 c_ɯ_ŋ_2 c_ă_w_5 d_e_4 m_ɛ_6 c_ă_w_5 n_ɤ̆_w_5 k_ɤ_m_1 c_ɯə_1
VIVOSSPK37_026|b_a_j_2 v_iə_t_5b d_ɯə_k_6b f_e_1 l_a_2 b_a_j_2 l_a_m_2 v_ă_n_1 d_ă_k_6b b_iə_t_6b b_ă_ŋ_2 m_ɯ_k_6b d_ɔ_4 k_u_ŋ_3 c_i_4 tʰ_ɤ̆_j_2 v_a_2 m_i_3 b_iə_t_5b
VIVOSSPK37_027|t_o_j_1 m_ɔ_ŋ͡m_1 z_u_2 v_ɤ_j_5 kw_iɛ_t_5b d_i_ŋ_6 n_a_w_2 tʰ_i_2 b_a_n_6 h_ă_j_3 k_ɯ_5 s_o_ŋ͡m_5 tʰ_ɤ̆_t_6b v_ɤ_j_5 c_i_ŋ_5 m_i_ŋ_2 z_o_j_2 b_a_n_6 s_ɛ_3 b_i_ŋ_2 iɛ_n_1
VIVOSSPK37_028|ŋ_ă_j_1 s_ă_w_1 x_i_1 ɲ_ɤ̆_n_6 d_ɯə_k_6b tʰ_o_ŋ͡m_1 t_i_n_1 c_i_ŋ_5 kw_iɛ_n_2 d_iə_6 f_ɯə_ŋ_1 d_a_3 k_i_p_6b tʰ_ɤ_j_2 d_e_n_5 ɣ_ă_p_6b z_a_1 d_i_ŋ_2 k_a_k_5b ŋ_ɯ_1 z_ɤ̆_n_1 v_a_2 ŋ_ă_n_1 h_ɔ_6 d_ɛ_m_1 t_iə_n_2 z_a_w_1 c_ɔ_1 c_u_ŋ_1 kw_o_k͡p_5b
VIVOSSPK37_029|kw_a_ŋ_4 b_a_5 h_i_ŋ_2 ɛ_ŋ_4 d_ɤ̆_t_5b n_ɯə_k_5b tʰ_ɛ_ŋ_2 k_o_ŋ͡m_1 v_a_2 tʰ_w_iə_t_5b f_u_k_6b t_ɯ_2 v_iə_k_6b l_a_m_2 t_o_t_5b k_uə_4 m_o_j_3 k_o_ŋ͡m_1 z_ɤ̆_n_1
VIVOSSPK37_030|ɲ_ɯ_ŋ_3 ɲ_a_2 x_i_5 t_ɯə_ŋ_6 h_ɔ_k͡p_6b d_ɯə_k_6b b_iə_t_5b d_e_n_5 ɲ_iə_w_2 ɲ_ɤ̆_t_5b l_a_2 ɲ_ɯ_ŋ_3 ŋ_ɯə_j_2 z_ɯ_6 d_w_a_n_5 x_i_5 t_ɯə_ŋ_6 s_w_ɤ̆_t_5b h_iə_n_6 c_e_n_1 d_a_j_2 f_a_t_5b s_ɔ_ŋ͡m_5 v_a_2 c_w_iə_n_2 h_i_ŋ_2 d_iə_6 f_ɯə_ŋ_1
VIVOSSPK37_031|k_ɯ_5 ŋ_i_3 d_e_n_5 h_ɔ_6 l_a_2 ɲ_ɯ_ŋ_3 ŋ_ɯə_j_2 m_ă_k_5b b_e_ŋ_6 m_i_ŋ_2 ɣ_ă_p_6b l_ɤ̆_n_2 n_a_w_2 k_u_ŋ_3 k_ɔ_5 tʰ_e_4 l_a_2 l_ɤ̆_n_2 k_uə_j_5 tʰ_e_5 l_a_2 d_i_1
VIVOSSPK37_032|h_iə_n_6 k_a_k_5b ɲ_ɔ_m_5 k_ɯ_w_5 h_o_6 t_iə_p_5b t_u_k_6b v_ɤ̆_n_3 d_a_ŋ_1 t_iə_p_5b t_u_k_6b t_i_m_2 k_iə_m_5 ŋ_ɯə_j_2 s_o_ŋ͡m_5 s_ɔ_t_5b v_a_2 d_ɯə_1 tʰ_i_1 tʰ_e_4 k_a_k_5b n_a_n_6 ɲ_ɤ̆_n_1 s_ɤ̆_w_5 s_o_5 z_a_1 x_ɔ_j_4 d_o_ŋ͡m_5 d_o_4 n_a_t_5b
VIVOSSPK37_033|ŋ_iə_3 l_a_2 t_o_j_1 v_i_2 tʰ_ɯə_ŋ_1 v_ɤ_6 n_e_n_1 f_a_j_4 t_u_j_2 v_ɤ_6 t_ɤ̆_t_5b c_ɯ_5 x_o_ŋ͡m_1 d_ɯə_k_6b t_ɯ_6 i_5 l_ɯə_6 c_ɔ_n_6 c_ɯə_ŋ_1 c_i_ŋ_2 tʰ_eo_1 i_5 m_i_ŋ_2
VIVOSSPK37_034|c_ɯ_5 tʰ_ɯ_k_6b t_e_5 b_ɤ̆_j_5 l_ɤ̆_w_1 s_ɛ_n_1 c_o_ŋ͡m_2 c_ɔ_ŋ͡m_1 h_o_2 n_ă_j_2 c_ă_ŋ_4 f_a_j_4 z_o_ŋ͡m_5 s_ɛ_n_1 b_ɛ_k_5b z_iə_p_6b m_a_2 l_a_2 z_o_ŋ͡m_5 s_ɛ_n_1 c_ă_ŋ_5 b_i_ŋ_2 tʰ_ɯə_ŋ_2
VIVOSSPK37_035|d_o_j_1 l_u_k_5b k_ɔ_n_2 ɲ_ɯ_ŋ_3 t_i_t_5b t_ɯə_6 n_ă_ŋ_6 n_e_2 h_ă_j_1 k_ɔ_n_2 m_o_t_6b s_o_5 t_i_n_1 b_a_j_2 s_w_ɤ̆_t_5b h_iə_n_6 m_a_2 v_iə_k_6b d_ɛ_ŋ_5 z_a_5 k_a_k_5b m_ă_t_6b t_a_k_5b d_o_ŋ͡m_6 c_ɯə_1 t_ɤ_j_5
VIVOSSPK37_036|m_o_t_6b s_o_5 h_iə_n_6 t_ɯə_ŋ_6 t_ă_ŋ_1 c_ɯə_ŋ_4 d_u_ŋ_5 z_a_1 f_a_j_4 s_w_ɤ̆_t_5b h_iə_n_6 x_i_1 c_ɛ_4 k_ɔ_n_2 ɲ_ɔ_4 l_a_j_6 x_o_ŋ͡m_1 z_iə_n_3 z_a_1
VIVOSSPK37_037|tʰ_ɤ̆_m_6 c_i_5 k_ɔ_5 k_a_n_5 b_o_6 ɤ_4 f_ɔ_ŋ͡m_2 kw_a_n_4 l_i_5 s_i_ŋ_1 v_iə_n_1 n_o_j_6 ŋ_w_a_j_6 c_u_5 k_u_ŋ_3 k_ɔ_5 b_ă_ŋ_2 t_iə_n_5 s_i_3 ɲ_ɯ_1 a_j_1
VIVOSSPK37_038|u_1 b_iə_t_5b k_a_j_5 k_ɛ_ŋ_4 ă_n_1 b_a_m_5 k_ɔ_n_1 c_ă_w_5 l_a_2 ɲ_u_k_6b l_ă_m_5 k_u_ŋ_3 m_uə_n_5 z_a_1 d_o_ŋ͡m_2 tʰ_a_m_1 z_a_1 l_a_w_1 d_o_ŋ͡m_6
VIVOSSPK37_039|t_ɤ̆_t_5b t_ɤ̆_n_2 t_ɤ̆_t_6b d_ɛu_2 b_i_6 k_e_1 z_a_5 c_ă_t_6b d_ɛ_p_6b t_w_i_1 x_o_ŋ͡m_1 z_a_w_1 x_o_ŋ͡m_1 tʰ_ɤ_t_5b ɲ_ɯ_ŋ_1 kw_i_5 tʰ_ɯə_ŋ_6 d_e_5 d_ɛu_2 t_ɯ_k_5b ɔ_j_5 m_ă_w_5 ŋ_ɤ̆_m_6 b_o_2 h_ɔ_n_2 l_a_m_2 ŋ_ɔ_t_6b
VIVOSSPK37_040|d_o_j_5 v_ɤ_j_5 ɲ_ɯ_ŋ_3 ŋ_ɯə_j_2 s_ɯ_4 z_u_ŋ_6 d_iə_n_6 tʰ_w_a_j_6 z_i_1 d_o_ŋ͡m_6 k_ɤ̆_n_2 h_a_n_6 c_e_5 ŋ_ɛ_1 ɲ_iə_w_2 c_ɯ_k_6b t_iə_p_5b v_a_2 x_o_ŋ͡m_1 n_e_n_1 b_ɔ_4 c_ɔ_ŋ͡m_1 t_u_j_5 kw_ɤ̆_n_2 a_w_5
VIVOSSPK37_041|v_e_2 f_ɯə_ŋ_1 z_iə_n_6 c_i_6 l_iə_w_6 kw_a_n_1 n_iə_m_6 k_uə_4 h_a_j_4 tʰ_ɯə_ŋ_6 l_a_n_3 o_ŋ͡m_1 ŋ_ɯə_j_2 t_a_1 z_u_ŋ_2 c_ɤ̆_t_5b k_ă_j_1 n_ɔ_ŋ͡m_5 k_ɯə_ŋ_2 z_ɯə_ŋ_1 ɲ_ɯ_1 v_ɤ̆_j_6 l_a_2 l_ɤ̆_m_2 t_ɔ_1
VIVOSSPK37_042|t_w_i_1 ɲ_iə_n_1 x_o_ŋ͡m_1 f_a_j_4 t_ɤ̆_t_5b k_a_4 z_a_w_5 v_iə_n_1 c_ɯə_ŋ_2 c_w_iə_n_1 d_ɛu_2 z_ɔ_j_4 k_ɔ_5 ɲ_ɯ_ŋ_3 z_a_w_5 v_iə_n_1 z_ɔ_j_4 x_o_ŋ͡m_1 m_uə_n_5 v_e_2 c_ɯə_ŋ_2 c_w_iə_n_1
VIVOSSPK37_043|d_e_m_1 t_i_ŋ_3 l_ă_ŋ_6 l_a_2 l_u_k_5b c_ɔ_1 ɲ_ɯ_ŋ_3 k_ɔ_n_1 ŋ_ɯə_j_2 tʰ_w_a_4 s_ɯ_k_5b z_o_ŋ͡m_6 l_ɔ_ŋ͡m_2 t_ɤ̆_m_1 s_ɯ_6 s_w_i_1 t_ɯ_1
VIVOSSPK37_044|tʰ_i_ŋ_4 tʰ_w_a_ŋ_4 l_a_j_6 k_ɔ_5 ŋ_ɯə_j_2 ɣ_ɛ_p_5b tʰ_ɤ̆_n_6 c_ɯə_k_5b d_ɔ_5 c_ɤ_4 kw_a_1 s_i_n_1 s_ɛ_t_5b ŋ_iə_m_6 v_i_2 k_ɔ_5 c_u_k_6b c_ă_k_6b
VIVOSSPK37_045|ɲ_ɯ_ŋ_3 k_ɛ_4 s_ă_j_1 d_o_2 h_iə_w_6 tʰ_ɯ_k_6b s_ɯ_6 d_a_ŋ_1 d_ɯ_ŋ_5 ɤ_4 d_ɤ̆_w_1 d_ɔ_5 c_ɔ_ŋ͡m_1 h_a_ŋ_2 ŋ_ɯə_j_2 tʰ_ɔ_ŋ͡m_1 tʰ_a_4 d_iə_m_2 d_a_m_6
VIVOSSPK37_046|v_a_2 d_ɤ̆_j_1 l_a_2 l_ɤ̆_n_2 d_ɤ̆_w_2 t_iə_n_1 t_ɤ_5 tʰ_ɤ̆_j_5 b_a_n_6 b_uə_n_2 ɲ_ɯ_1 v_ɤ̆_j_6 ɲ_ɯ_ŋ_1 t_ɤ_5 b_iə_t_5b k_ɔ_5 m_o_t_6b ŋ_ɯə_j_2 k_ɔ_n_2 b_uə_n_2 h_ɤ_n_1 k_a_4 b_a_n_6
VIVOSSPK37_047|l_ɤ̆_n_3 c_ɔ_ŋ͡m_1 z_ɯ_ŋ_2 m_iə_5 l_a_2 h_a_ŋ_2 z_ɯə_2 s_w_a_3 b_ɔ_ŋ͡m_5 m_a_t_5b s_uə_ŋ_5 ɲ_ɯ_ŋ_3 ŋ_o_j_1 ɲ_a_2 ŋ_ɔ_j_5 h_w_ă_k_6b t_o_n_1 b_e_n_1 z_ɯə_j_5
VIVOSSPK37_048|ŋ_ɯə_k_6b l_a_j_6 k_a_k_5b h_a_t_6b x_o_ŋ͡m_1 x_i_5 m_e_m_2 h_ɤ_n_1 v_a_2 c_w_iə_n_2 k_a_k_5b z_u_ŋ_1 d_o_ŋ͡m_6 c_ɤ̆_m_6 h_ɤ_n_1 z_ɤ̆_t_5b ɲ_iə_w_2
VIVOSSPK37_049|c_ɔ_ŋ͡m_1 b_o_j_5 k_ɛ_ŋ_4 ɤ̆_j_5 d_e_m_1 tʰ_ɤ_1 c_a_1 v_a_2 k_ɔ_n_1 v_a_2 tʰ_ɤ_1 d_ɯə_k_6b ɣ_i_1 ɲ_ɤ̆_n_6 ɲ_ɯ_1 m_o_t_6b v_i_5 z_u_6 k_ɔ_5 s_ɯ_k_5b tʰ_w_iə_t_5b f_u_k_6b
VIVOSSPK37_050|d_e_4 d_ɛ_ŋ_5 z_a_5 k_a_k_5b s_ɤ_4 tʰ_i_k_5b v_a_2 x_a_4 n_ă_ŋ_1 k_uə_4 m_i_ŋ_2 f_u_2 h_ɤ_p_6b v_ɤ_j_5 ŋ_ɛ_ŋ_2 ŋ_e_2 n_a_w_2
VIVOSSPK37_051|ɲ_ɯ_ŋ_1 t_e_n_1 b_a_w_4 k_e_1 d_a_3 h_e_t_5b s_ɯ_k_5b f_ɤ̆_n_3 n_o_6 x_i_1 b_iə_t_5b t_o_j_1 x_o_ŋ͡m_1 c_i_w_6 ɲ_ă_j_4 c_u_j_5 ŋ_u_4 v_ɤ_j_5 x_ɛ_k_5b
VIVOSSPK37_052|k_a_k_5b ɛ_ŋ_1 s_ɛ_3 m_a_j_3 l_a_2 ɲ_ɯ_ŋ_3 ŋ_ɯə_j_2 k_ɔ_n_1 ɯ_w_1 t_u_5 k_uə_4 t_o_4 kw_o_k͡p_5b k_uə_4 ɲ_ɤ̆_n_1 z_ɤ̆_n_1 v_iə_t_6b n_a_m_1
VIVOSSPK37_053|d_ɔ_5 k_u_ŋ_3 l_a_2 l_i_5 z_ɔ_1 c_i_ŋ_5 k_uə_4 k_a_k_5b f_u_6 h_w_i_ŋ_1 c_ɔ_1 k_ɔ_n_1 d_i_1 h_ɔ_k͡p_6b tʰ_e_m_1
VIVOSSPK37_054|o_ŋ͡m_1 c_ɤ̆_n_2 iɛ_n_1 b_o_5 k_uə_4 m_o_t_6b ɛ_m_1 d_a_ŋ_1 c_ɤ_j_1 c_ɔ_1 b_iə_t_5b ɲ_i_n_2 d_iə_n_6 d_ɔ_m_5 m_ă_j_5 m_ɔ_k͡p_5b ɤ_4 d_ɤ̆_j_1 tʰ_ɤ̆_j_5 k_u_ŋ_3 ɤ_n_5 ɲ_ɯ_ŋ_1 m_ɤ̆_j_5 d_ɯə_5 ɲ_ɔ_4 k_ɯ_5 d_ɔ_j_2 c_ɤ_j_1
VIVOSSPK37_055|a_j_1 k_u_ŋ_3 b_iə_t_5b k_a_k_5b ɛ_m_1 d_a_ŋ_1 b_i_6 k_ɛ_4 s_ɤ̆_w_5 l_ɤ_j_6 z_u_ŋ_6 c_ă_n_1 z_ă_t_5b v_a_2 b_ɔ_k͡p_5b l_o_t_6b
VIVOSSPK37_056|ɲ_iə_t_6b d_o_6 k_a_w_1 ɛ_ŋ_5 n_ă_ŋ_5 ɣ_ă_t_5b ɣ_a_w_1 l_a_2 k_ɛ_4 tʰ_u_2 d_a_ŋ_5 ɣ_ɯə_m_2 k_uə_4 l_a_n_2 z_a_1 x_i_1 v_a_w_2 m_uə_2 h_ɛ_2
VIVOSSPK37_057|ɤ_4 k_ɯə_4 x_ɤ̆_w_4 l_a_w_2 k_a_j_1 k_ɔ_5 h_a_ŋ_2 c_ă_m_1 ŋ_ɯə_j_2 l_a_w_1 d_o_ŋ͡m_6 l_a_m_2 tʰ_w_e_1 b_ă_ŋ_2 k_o_ŋ͡m_1 v_iə_k_6b b_o_k͡p_5b v_a_k_5b h_w_ă_k_6b d_ɤ̆_j_4 s_ɛ_1
VIVOSSPK37_058|c_i_6 d_a_3 x_o_ŋ͡m_1 tʰ_e_4 k_ɤ̆_m_2 d_ɯə_k_6b k_a_m_4 s_u_k_5b z_u_2 d_ɔ_5 l_a_2 l_ɤ̆_n_2 d_ɔ_k͡p_6b d_ɤ̆_w_2 h_ă_j_1 l_ɤ̆_n_2 s_ɛ_m_1 k_uə_j_5
VIVOSSPK37_059|k_ɔ_5 l_ɛ_3 z_ɔ_1 b_i_6 ɛ_ŋ_4 h_ɯə_ŋ_4 n_ă_ŋ_6 b_ɤ_j_4 ɲ_ɔ_1 z_a_w_5 v_ɯə_2 k_ɔ_5 tʰ_ɯ_5 b_ɤ̆_k_6b h_ă_n_4 h_ɔ_j_1 ɲ_ɯ_ŋ_1 l_a_j_6 k_ɔ_5 iə_w_5 t_o_5 b_i_ŋ_2 d_ă_ŋ_4 c_ɔ_ŋ͡m_1 d_ɔ_5
VIVOSSPK37_060|k_a_j_5 f_u_6 h_a_j_1 c_ă_k_5b c_ă_n_5 c_w_iə_n_2 h_i_ŋ_2 l_a_2 f_ɯə_ŋ_1 t_iə_n_6 z_ɤ̆_t_5b t_o_t_5b c_i_4 k_ɤ̆_n_2 v_a_j_2 z_ɤ̆_j_1 ɲ_ă_k_5b ɲ_ɤ_4 ŋ_ɯə_j_2 t_a_1 i_5 tʰ_ɯ_k_5b v_e_6 s_i_ŋ_1
VIVOSSPK37_061|tʰ_i_2 d_ɤ̆_j_1 h_o_m_1 kw_a_1 ŋ_ɯə_j_2 t_a_1 k_ɔ_5 m_o_t_6b k_uə_k_6b h_o_j_6 tʰ_a_w_4 l_ɤ_n_5 ɤ_4 t_ɤ̆_j_1 ŋ_w_iə_n_1 b_a_n_2 c_w_iə_n_6 l_a_m_2 z_ă_w_2 b_ă_ŋ_2 k_ɛ_k_5b
VIVOSSPK37_062|t_o_ŋ͡m_4 tʰ_o_ŋ͡m_5 ɲ_ɤ̆_t_5b d_i_ŋ_6 s_ɛ_3 tʰ_ɤ̆_n_1 tʰ_iə_t_5b v_a_2 ɣ_ɤ̆_n_2 ɣ_u_j_3 v_ɤ_j_5 f_ɛ_1 n_ă_j_2 h_ɤ_n_1 f_ɛ_1 k_iə_1
VIVOSSPK37_063|tʰ_eo_1 m_o_t_6b k_a_n_5 b_o_6 d_iə_w_2 c_a_1 k_ɤ_1 kw_a_n_1 k_o_ŋ͡m_1 a_n_1 d_a_ŋ_1 l_a_m_2 h_o_2 s_ɤ_1 d_e_4 s_ɤ_m_5 x_ɤ_j_4 t_o_5 v_u_6 a_n_5
VIVOSSPK37_064|c_ɔ_1 ɛ_m_1 b_iə_t_5b ɲ_ɯ_1 tʰ_e_5 n_a_w_2 t_i_m_2 d_ɯə_k_6b k_e_t_5b kw_a_4 v_a_2 t_i_m_2 ɲ_ɯ_1 tʰ_e_5 n_a_w_2
VIVOSSPK37_065|ɲ_ɯ_ŋ_1 m_ɤ_j_5 ɤ_4 b_e_n_1 ɲ_ă_w_1 d_ɯə_k_6b h_a_j_1 t_w_ɤ̆_n_2 o_ŋ͡m_1 tʰ_a_j_5 h_a_n_5 c_iə_w_2 f_a_j_4 kw_ă_j_1 v_e_2 d_a_j_2 l_w_a_n_1
VIVOSSPK37_066|m_o_j_3 z_a_j_1 d_w_a_n_6 k_uə_4 k_uə_k_6b d_ɤ_j_2 m_a_ŋ_1 l_a_j_6 c_ɔ_1 b_a_n_6 ɲ_ɯ_ŋ_3 k_a_m_4 s_u_k_5b x_a_k_5b ɲ_ă_w_1
